person_identifier,rural_urban,survey_weight,smoke,age,race,gender,highest_education,educ_highest_school_grade,educ_current_level
320987,Urban,437.4328,No,55,Coloured,Female,Others (Specify),Grade 10/Std. 8/Form 3,
411172,Urban,437.4328,Yes,18,Coloured,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
582167,Urban,437.4328,No,28,Coloured,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
304059,Traditional,1970.52,Yes,39,African,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
745010,Traditional,1970.52,No,25,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
734229,Urban,660.1141,No,38,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
786971,Urban,660.1141,No,19,African,Male,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,Grade 10/Std. 8/Form 3
303407,Urban,1392.896,No,24,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
324264,Urban,808.9421,No,30,Coloured,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
314091,Urban,26402.75,No,35,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
304515,Urban,7628.267,No,25,African,Female,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
408395,Traditional,192.7419,No,21,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
790228,Traditional,192.7419,No,59,African,Male,Grade 6 (Std. 4),Grade 6/Std. 4,
311938,Traditional,1051.004,Yes,27,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
311950,Traditional,1051.004,No,65,African,Female,No Schooling,No schooling,
311963,Traditional,1051.004,Yes,25,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
311977,Traditional,1051.004,No,27,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
407441,Traditional,1051.004,No,20,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,Diploma requiring Grade 12/Std. 10
321683,Urban,525.3712,No,67,White,Female,Grade 8 (Std. 6/Form 1),Grade 8/Std. 6/Form 1,
670764,Urban,3890.204,Yes,43,African,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
404543,Traditional,812.0131,No,19,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
730965,Traditional,812.0131,No,79,African,Female,No Schooling,No schooling,
759386,Urban,1426.067,No,58,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
310879,Traditional,426.9193,No,44,African,Female,No Schooling,No schooling,
310880,Traditional,426.9193,No,24,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
720351,Traditional,426.9193,No,26,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
777174,Traditional,426.9193,Yes,46,African,Male,Grade 6 (Std. 4),Grade 6/Std. 4,
501915,Urban,6529.265,Yes,54,African,Male,Grade 7 (Std. 5),Grade 7/Std. 5,
702304,Urban,436.8811,No,24,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
756643,Urban,436.8811,No,74,African,Female,No Schooling,No schooling,
761490,Urban,436.8811,No,53,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
774089,Urban,436.8811,No,34,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
314534,Traditional,530.9191,No,71,African,Female,Grade 5 (Std. 3),Grade 5/Std. 3,
724933,Urban,169.7245,No,57,Coloured,Female,No Schooling,No schooling,
402618,Urban,781.3421,No,22,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
302825,Urban,958.8551,No,33,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
322231,Urban,293.8662,No,70,Coloured,Female,Grade 6 (Std. 4),Grade 6/Std. 4,
322232,Urban,293.8662,No,51,Coloured,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
318624,Traditional,333.9449,No,49,African,Female,No Schooling,No schooling,
730213,Traditional,333.9449,Yes,21,African,Male,Grade 8 (Std. 6/Form 1),Grade 8/Std. 6/Form 1,
778417,Traditional,333.9449,No,90,African,Female,No Schooling,No schooling,
310662,Urban,1353.971,No,33,African,Female,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
712731,Urban,1353.971,No,28,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,N1 (NATED)/NTC 1
304808,Traditional,235.9027,No,80,African,Female,No Schooling,No schooling,
732044,Traditional,235.9027,No,34,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
733148,Traditional,235.9027,No,73,African,Female,No Schooling,No schooling,
660964,Urban,6308.521,Yes,53,Asian/Indian,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
725116,Urban,778.1328,No,72,African,Female,Grade 4 (Std. 2),Grade 4/Std. 2,
316810,Traditional,545.5569,Yes,42,African,Male,Grade 3 (Std. 1),Grade 3/Std. 1,
316811,Traditional,545.5569,No,43,African,Female,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
408496,Traditional,545.5569,Yes,23,African,Male,Grade 6 (Std. 4),Grade 6/Std. 4,
408497,Traditional,545.5569,Yes,20,African,Male,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
410250,Urban,1994.348,No,21,African,Female,Grade 8 (Std. 6/Form 1),Grade 8/Std. 6/Form 1,
321018,Urban,648.6968,No,60,African,Male,Grade 6 (Std. 4),Grade 6/Std. 4,
502159,Urban,648.6968,No,50,African,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
305994,Urban,1540.887,Yes,50,African,Female,Grade 4 (Std. 2),Grade 4/Std. 2,
305995,Urban,1540.887,Yes,47,African,Male,Grade 7 (Std. 5),Grade 7/Std. 5,
412540,Farms,209.976,No,19,Coloured,Male,Grade 8 (Std. 6/Form 1),Grade 7/Std. 5,
318561,Urban,1251.319,No,41,African,Female,Certificate not requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
735768,Urban,1251.319,No,21,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
718021,Traditional,251.5486,No,59,African,Female,Grade 4 (Std. 2),Grade 4/Std. 2,
798778,Traditional,251.5486,No,30,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
405759,Urban,1096.4,No,19,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
763272,Urban,1096.4,No,24,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
306199,Urban,1888.948,No,26,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,Diploma requiring Grade 12/Std. 10
301821,Urban,4572.053,No,55,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
304093,Urban,4572.053,No,47,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
403391,Urban,4572.053,No,18,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
323380,Urban,1323.652,Yes,57,Coloured,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
323381,Urban,1323.652,Yes,44,White,Male,Certificate not requiring Grade 12/Std. 10,Grade 10/Std. 8/Form 3,
412550,Urban,1323.652,Yes,20,Coloured,Male,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
407033,Urban,479.7604,No,23,African,Male,Certificate not requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
301926,Urban,1124.77,No,47,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
321434,Urban,608.9924,Yes,53,Coloured,Female,No Schooling,No schooling,
321435,Urban,608.9924,No,55,Coloured,Male,No Schooling,No schooling,
321490,Urban,608.9924,No,34,Coloured,Female,No Schooling,No schooling,
318446,Farms,961.5945,No,69,Asian/Indian,Female,Grade 4 (Std. 2),Grade 4/Std. 2,
735709,Farms,961.5945,Yes,65,White,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
748137,Farms,961.5945,Yes,35,Asian/Indian,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
319609,Urban,2307.604,Yes,40,Coloured,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
749690,Urban,2307.604,Yes,39,Coloured,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
410446,Farms,722.1836,No,18,Coloured,Female,Grade 8 (Std. 6/Form 1),Grade 8/Std. 6/Form 1,
716684,Farms,722.1836,Yes,27,Coloured,Male,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
622684,Urban,1509.787,No,45,Asian/Indian,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
628243,Urban,1509.787,No,51,Asian/Indian,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
406260,Urban,1154.712,No,24,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
314400,Urban,937.3874,No,25,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
501820,Urban,937.3874,No,50,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
317333,Urban,364.0171,No,63,African,Female,Grade 4 (Std. 2),Grade 4/Std. 2,
409310,Urban,364.0171,No,20,African,Male,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,Grade 10/Std. 8/Form 3
744819,Urban,364.0171,Yes,51,African,Male,Grade 4 (Std. 2),Grade 4/Std. 2,
314078,Traditional,443.5017,No,27,African,Female,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
408032,Traditional,443.5017,No,21,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,Diploma requiring Grade 12/Std. 10
408033,Traditional,443.5017,No,18,African,Male,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,Grade 10/Std. 8/Form 3
742959,Traditional,443.5017,No,27,African,Female,Certificate not requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
747690,Traditional,443.5017,No,45,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
765010,Traditional,443.5017,No,18,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
406829,Traditional,206.1633,No,18,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
786627,Traditional,206.1633,No,77,African,Female,No Schooling,No schooling,
311156,Traditional,590.6923,Yes,29,African,Male,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
733184,Traditional,590.6923,No,57,African,Female,No Schooling,No schooling,
733674,Traditional,590.6923,No,18,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
799106,Traditional,590.6923,No,31,African,Female,Certificate not requiring Grade 12/Std. 10,Grade 9/Std. 7/Form 2,
319204,Traditional,756.4131,No,34,African,Male,Grade 7 (Std. 5),Grade 7/Std. 5,
321602,Traditional,756.4131,No,26,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,Grade 11/Std. 9/Form 4
321606,Traditional,756.4131,No,80,African,Female,No Schooling,No schooling,
319364,Farms,1156.286,No,29,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
302706,Traditional,1021.755,No,53,African,Female,Grade 8 (Std. 6/Form 1),Grade 8/Std. 6/Form 1,
306601,Traditional,1021.755,No,27,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
744208,Traditional,1021.755,No,21,African,Male,National Certificate Vocational 4 (NCV 4),National Certificate Vocational 4 (NCV 4),
311139,Urban,1382.34,No,74,African,Female,Grade 6 (Std. 4),Grade 6/Std. 4,
301408,Urban,1903.563,No,37,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
302082,Urban,1903.563,Yes,34,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
402188,Urban,1903.563,No,23,African,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
720646,Urban,1903.563,No,38,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
735013,Urban,1903.563,No,28,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
315606,Urban,946.2191,Yes,28,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
315607,Urban,946.2191,No,57,African,Female,Grade 10 (Std. 8/Form 3),Grade 8/Std. 6/Form 1,
312069,Traditional,815.2332,No,30,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
312075,Traditional,815.2332,No,30,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
406974,Traditional,815.2332,No,20,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
725949,Traditional,815.2332,No,42,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
731322,Traditional,815.2332,No,48,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
633946,Urban,2590.574,No,18,White,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
660275,Urban,2590.574,Yes,52,White,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
582144,Urban,4935.891,No,29,African,Male,Bachelors Degree and diploma,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
315014,Traditional,511.3416,No,67,African,Female,Grade 4 (Std. 2),Grade 4/Std. 2,
317335,Traditional,511.3416,No,35,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
745575,Traditional,511.3416,No,31,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
755977,Traditional,511.3416,No,33,African,Male,Grade 7 (Std. 5),Grade 7/Std. 5,
408314,Urban,890.3793,No,21,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,Bachelors Degree
311804,Urban,5705.56,Yes,36,African,Male,Certificate not requiring Grade 12/Std. 10,Grade 11/Std. 9/Form 4,
316562,Traditional,943.6743,Yes,28,African,Male,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
316563,Traditional,943.6743,No,24,African,Female,Grade 5 (Std. 3),Grade 6/Std. 4,
316565,Traditional,943.6743,No,59,African,Male,Grade 6 (Std. 4),Grade 6/Std. 4,
501425,Urban,16014.19,No,36,African,Female,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
311273,Urban,2865.222,No,39,African,Female,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
311274,Urban,2865.222,Yes,43,African,Male,Grade 7 (Std. 5),Grade 7/Std. 5,
301901,Urban,880.4818,No,43,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
707634,Traditional,75.75809,No,36,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
718340,Traditional,75.75809,No,77,African,Male,No Schooling,No schooling,
751278,Traditional,75.75809,No,77,African,Female,No Schooling,No schooling,
753717,Traditional,75.75809,No,19,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
760469,Traditional,75.75809,No,20,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,Grade 11/Std. 9/Form 4
773479,Traditional,75.75809,No,28,African,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
321284,Traditional,6723.24,No,29,African,Male,Grade 9 (Std. 7/Form 2),Grade 10/Std. 8/Form 3,
492129,Urban,4313.941,No,23,African,Male,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
316745,Traditional,1247.062,Yes,66,African,Male,No Schooling,No schooling,
627024,Urban,3329.466,No,57,White,Female,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
664773,Urban,3329.466,Yes,58,White,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
323019,Urban,1203.392,No,38,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
391303,Urban,1203.392,No,30,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
787337,Urban,1203.392,No,25,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
305680,Traditional,604.2417,No,33,African,Female,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
736569,Traditional,604.2417,No,60,African,Female,Grade 3 (Std. 1),Grade 3/Std. 1,
742042,Traditional,604.2417,Yes,22,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
302504,Urban,2828.641,No,27,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
733794,Traditional,180.3153,No,76,African,Female,No Schooling,No schooling,
735541,Traditional,180.3153,No,28,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
772158,Traditional,180.3153,No,20,African,Female,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,Grade 10/Std. 8/Form 3
304062,Traditional,3794.641,No,41,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
736391,Traditional,3794.641,No,48,African,Male,Certificate not requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
642765,Urban,3945.874,No,72,White,Female,Bachelors Degree,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
320898,Urban,282.2296,No,65,African,Male,Grade 7 (Std. 5),Grade 7/Std. 5,
772039,Urban,282.2296,No,23,African,Male,Grade 5 (Std. 3),Grade 5/Std. 3,
303452,Traditional,1303.16,No,44,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
405788,Traditional,1303.16,No,20,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,Grade 11/Std. 9/Form 4
686172,Urban,6637.752,No,31,White,Male,Others (Specify),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
311961,Traditional,923.7515,No,36,African,Male,Grade 11 (Std. 9/Form 4),Grade 10/Std. 8/Form 3,
311962,Traditional,923.7515,No,64,African,Female,Grade 4 (Std. 2),Grade 4/Std. 2,
309510,Farms,424.3165,Yes,28,Coloured,Male,Grade 9 (Std. 7/Form 2),Grade 8/Std. 6/Form 1,
311482,Farms,424.3165,No,42,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
322580,Farms,424.3165,No,47,Coloured,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
404617,Farms,424.3165,No,20,Coloured,Female,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,
405361,Farms,424.3165,No,22,Coloured,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
309294,Urban,5283.713,No,31,African,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
760455,Traditional,1050.211,No,54,African,Female,Grade 1 (Previously Sub A/Class 1),Grade 1/Sub A/Class 1,
311248,Urban,1703.79,No,72,African,Male,Grade 4 (Std. 2),Grade 4/Std. 2,
311290,Urban,1703.79,No,75,African,Female,Grade 4 (Std. 2),Grade 4/Std. 2,
403467,Urban,1703.79,No,23,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,Other (specify)
309114,Traditional,451.5031,No,37,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
778729,Traditional,451.5031,No,31,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
409082,Urban,110.1042,No,18,African,Male,Grade 9 (Std. 7/Form 2),Grade 9/Std. 7/Form 2,Grade 10/Std. 8/Form 3
725278,Urban,110.1042,No,63,African,Male,No Schooling,No schooling,
725279,Urban,110.1042,Yes,35,African,Male,Grade 11 (Std. 9/Form 4),Grade 8/Std. 6/Form 1,
725280,Urban,110.1042,Yes,35,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
725281,Urban,110.1042,No,59,African,Female,Grade 4 (Std. 2),Grade 4/Std. 2,
725282,Urban,110.1042,No,30,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
725283,Urban,110.1042,No,26,African,Female,Grade 11 (Std. 9/Form 4),Grade 10/Std. 8/Form 3,
391081,Urban,219.7817,Yes,30,White,Female,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
732091,Urban,219.7817,No,55,White,Male,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
736114,Urban,219.7817,No,61,White,Female,Diploma requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
501465,Traditional,884.3752,No,52,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 9/Std. 7/Form 2,
768227,Traditional,884.3752,No,66,African,Male,No Schooling,No schooling,
321327,Traditional,4600.825,No,51,African,Male,Certificate not requiring Grade 12/Std. 10,Grade 8/Std. 6/Form 1,
502231,Traditional,4600.825,No,48,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
312790,Urban,789.7693,No,46,African,Female,Bachelors Degree,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
409306,Urban,789.7693,No,23,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,N3 (NATED)/NTC 3
583108,Urban,789.7693,No,52,African,Male,Honours Degree,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
319054,Urban,4087.042,No,45,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
308546,Farms,224.3886,No,72,African,Female,No Schooling,No schooling,
403823,Farms,224.3886,No,19,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
404027,Farms,224.3886,Yes,23,African,Male,Certificate not requiring Grade 12/Std. 10,Grade 10/Std. 8/Form 3,
722262,Farms,224.3886,No,26,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
722263,Farms,224.3886,No,22,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
741743,Farms,224.3886,No,22,African,Female,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
322515,Urban,359.6674,No,46,Coloured,Female,Bachelors Degree,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
322516,Urban,359.6674,No,47,Coloured,Male,Bachelors Degree and diploma,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
310099,Urban,2775.807,No,38,African,Female,Certificate requiring Grade 12/Std. 10,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
405287,Urban,2775.807,No,19,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,Grade 11/Std. 9/Form 4
303259,Traditional,1819.794,No,35,African,Female,Grade 5 (Std. 3),Grade 5/Std. 3,
302532,Traditional,1446.846,No,28,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
741067,Traditional,1446.846,No,21,African,Male,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,Grade 11/Std. 9/Form 4
769711,Traditional,1446.846,No,25,African,Male,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
772963,Traditional,1446.846,No,27,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Certificate not requiring Grade 12/Std. 10
783943,Traditional,1446.846,No,18,African,Male,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,Grade 12/Std. 10/Form 5/Matric/Senior Certificate
799693,Traditional,1446.846,No,51,African,Female,Grade 7 (Std. 5),Grade 7/Std. 5,
313590,Urban,863.6877,No,24,African,Female,Bachelors Degree,Grade 12/Std. 10/Form 5/Matric/Senior Certificate,
408484,Traditional,133.2408,No,23,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
760707,Traditional,133.2408,No,46,African,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
323364,Urban,970.1626,No,35,Coloured,Female,Grade 10 (Std. 8/Form 3),Grade 10/Std. 8/Form 3,
323865,Urban,918.0925,Yes,43,African,Female,Grade 8 (Std. 6/Form 1),Grade 8/Std. 6/Form 1,
591314,Urban,918.0925,Yes,48,African,Male,Grade 8 (Std. 6/Form 1),Grade 8/Std. 6/Form 1,
408724,Traditional,548.5291,No,20,African,Female,Grade 11 (Std. 9/Form 4),Grade 11/Std. 9/Form 4,
